Cycle_Index,Step_Index,Test_Time_s,Current_A,Voltage_V,Temperature_C
0,1,0,0,4.153506,11.77017
0,1,1,0,4.153201,11.75315
0,1,2,0,4.153201,11.75315
0,1,3,0,4.153048,11.75315
0,1,4,0,4.153201,11.75315
0,1,5,0,4.153201,11.75315
0,2,5.05,0.1806668,4.163577,11.75315
0,2,6.05,0.4748608,4.201571,11.75315
0,2,7.05,0.4600595,4.201266,11.75315
0,2,8.05,0.4446479,4.200656,11.75315
0,2,9.05,0.4316777,4.200198,11.75315
0,2,10.05,0.4252689,4.200046,11.75315
0,2,11.05,0.4205386,4.199893,11.75315
0,2,12.05,0.4145876,4.200198,11.75315
0,2,13.05,0.4103151,4.200046,11.75315
0,2,14.05,0.40589,4.199893,11.75315
0,2,15.05,0.4014649,4.200046,11.75315
0,2,16.05,0.3973449,4.200198,11.75315
0,2,17.05,0.3935302,4.199893,11.77017
0,2,18.05,0.3897154,4.200046,11.75315
0,2,19.05,0.3875791,4.200046,11.77017
0,2,20.05,0.3834592,4.200046,11.77017
0,2,21.05,0.3808652,4.199893,11.77017
0,2,22.05,0.3770504,4.199893,11.77017
0,2,23.05,0.3743038,4.200046,11.75315
0,2,24.05,0.3715572,4.200046,11.75315
0,2,25.05,0.3692683,4.199893,11.77017
0,2,26.05,0.3663691,4.199893,11.75315
0,2,27.05,0.3636225,4.200046,11.77017
0,2,28.05,0.3605707,4.200198,11.77017
0,2,29.05,0.358587,4.200046,11.75315
0,2,30.05,0.3567559,4.200046,11.77017
0,2,31.05,0.3540093,4.200046,11.77017
0,2,32.05,0.3520256,4.200046,11.77017
0,2,33.05,0.3497368,4.199893,11.75315
0,2,34.05,0.3476005,4.200046,11.75315
0,2,35.05,0.3465324,4.200198,11.75315
0,2,36.05,0.3447013,4.199893,11.77017
0,2,37.05,0.3418021,4.200046,11.77017
0,2,38.05,0.3393607,4.19974,11.77017
0,2,39.05,0.3385977,4.200046,11.77017
0,2,40.05,0.3353933,4.200046,11.77017
0,2,41.05,0.3355459,4.199893,11.77017
0,2,42.05,0.3327993,4.200198,11.77017
0,2,43.05,0.3305104,4.200046,11.77017
0,2,44.05,0.3294423,4.199893,11.77017
0,2,45.05,0.328069,4.200046,11.77017
0,2,46.05,0.3266957,4.200046,11.77017
0,2,47.05,0.324712,4.200046,11.77017
0,2,48.05,0.3227283,4.200046,11.77017
0,2,49.05,0.3215076,4.19974,11.77017
0,2,50.05,0.3202869,4.200046,11.77017
0,2,51.05,0.3184558,4.200046,11.77017
0,2,52.05,0.3178454,4.200046,11.77017
0,2,53.05,0.3158618,4.199893,11.77017
0,2,54.05,0.3147936,4.200198,11.77017
0,2,55.05,0.314641,4.200198,11.77017
0,2,56.05,0.3125048,4.200046,11.75315
0,2,57.05,0.3111314,4.200046,11.75315
0,2,58.05,0.309453,4.199893,11.75315
0,2,59.05,0.3077745,4.200046,11.75315
0,2,60.05,0.3068589,4.200046,11.77017
0,2,61.05,0.305333,4.199893,11.77017
0,2,62.05,0.3044175,4.199893,11.77017
0,2,63.05,0.3022812,4.200046,11.77017
0,2,64.05,0.3006027,4.200046,11.77017
0,2,65.05,0.3009079,4.199893,11.75315
0,2,66.05,0.299382,4.199893,11.75315
0,2,67.05,0.2980087,4.200046,11.75315
0,2,68.05,0.2973983,4.200198,11.75315
0,2,69.05,0.2961776,4.199893,11.77017
0,2,70.05,0.2951095,4.199893,11.77017
0,2,71.05,0.2944991,4.200046,11.77017
